Num	Guess	Average remaining answers
624	carts:	129.245
625	shore:	129.250
626	selah:	129.273
627	tepal:	129.311
628	shier:	129.342
629	scrat:	129.345
630	tirls:	129.373
631	artic:	129.377
632	onset:	129.435
633	tired:	129.444
634	agers:	129.467
635	bears:	129.497
636	lyres:	129.527
637	yarto:	129.536
638	hanse:	129.589
639	arnut:	129.601
640	lyart:	129.646
641	paten:	129.701
642	utile:	129.802
643	sural:	129.812
644	lande:	129.819
645	yores:	129.868
646	dries:	129.914
647	drest:	129.918
648	feart:	129.942
649	range:	129.942
650	namer:	129.946
651	safer:	129.984
652	carls:	130.003
653	pleat:	130.033
654	nurse:	130.076
655	petal:	130.108
656	horse:	130.145
657	yrent:	130.162
658	olpae:	130.194
659	ailed:	130.247
660	elint:	130.252
661	baler:	130.289
662	sarod:	130.328
663	surat:	130.334
664	aglet:	130.361
665	trays:	130.374
666	neist:	130.400
667	lenis:	130.405
668	lapse:	130.410
669	clean:	130.540
670	ultra:	130.559
671	spale:	130.563
672	salep:	130.564
673	santo:	130.578
674	tines:	130.621
675	arcos:	130.693
676	cosie:	130.737
677	lants:	130.833
678	rosti:	130.849
679	their:	130.908
680	noria:	130.910
681	stead:	130.960
682	flare:	130.971
683	sider:	130.981
684	crape:	130.986
685	slain:	131.050
686	afore:	131.104
687	roted:	131.120
688	telco:	131.186
689	lairy:	131.293
690	rouen:	131.341
691	hires:	131.345
692	nelis:	131.369
693	afire:	131.381
694	treys:	131.393
695	louse:	131.397
696	panel:	131.450
697	saint:	131.451
698	belar:	131.463
699	inure:	131.467
700	resty:	131.486
701	pelta:	131.511
702	leany:	131.512
703	moire:	131.533
704	sauce:	131.538
705	psoae:	131.538
706	paste:	131.583
707	clies:	131.592
708	shoer:	131.702
709	fares:	131.741
710	arced:	131.756
711	blear:	131.765
712	snail:	131.778
713	olein:	131.779
714	spate:	131.782
715	rhies:	131.794
716	coset:	131.804
717	teins:	131.909
718	doter:	131.930
719	raced:	131.961
720	coles:	132.021
721	repot:	132.061
722	stage:	132.063
723	anted:	132.064
724	royne:	132.073
725	samel:	132.084
726	coste:	132.113
727	haste:	132.164
728	liens:	132.234
729	sedan:	132.317
730	toper:	132.317
731	gates:	132.336
732	senti:	132.357
733	mitre:	132.363
734	syren:	132.365
735	icers:	132.440
736	cause:	132.454
737	tawer:	132.490
738	reman:	132.505
739	iotas:	132.533
740	lepta:	132.655
741	cedar:	132.698
742	table:	132.741
743	rosed:	132.838
744	orcas:	132.842
745	acred:	132.859
746	hilar:	132.884
747	dores:	132.900
748	pareu:	132.947
749	water:	132.975
750	cadet:	132.985
751	enlit:	133.031
752	satem:	133.085
753	manet:	133.096
754	thole:	133.102
755	sient:	133.122
756	troad:	133.156
757	inset:	133.165
758	plier:	133.168
759	nites:	133.183
760	tapes:	133.212
761	paseo:	133.222
762	abler:	133.250
763	pales:	133.257
764	rhone:	133.272
765	drats:	133.298
766	laden:	133.302
767	stoai:	133.351
768	cruet:	133.361
769	horal:	133.374
770	sware:	133.480
771	heirs:	133.484
772	poler:	133.495
773	darts:	133.537
774	auris:	133.542
775	doser:	133.552
776	deans:	133.554
777	pilea:	133.575
778	yeans:	133.659
779	grace:	133.670
780	rache:	133.681
781	runes:	133.711
782	pates:	133.719
783	blate:	133.778
784	tardo:	133.848
785	naled:	133.850
786	prise:	133.895
787	scena:	133.933
788	enols:	133.937
789	trads:	133.946
790	peril:	133.950
791	ulnar:	133.976
792	neath:	133.997
793	hayer:	134.012
794	sheal:	134.062
795	sawer:	134.081
796	herls:	134.088
797	piert:	134.095
798	saker:	134.132
799	hoser:	134.152
800	ratus:	134.157
801	snort:	134.158
802	chare:	134.161
803	drant:	134.164
804	arish:	134.165
805	urnal:	134.168
806	eloin:	134.185
807	merit:	134.221
808	soyle:	134.262
809	gales:	134.299
810	oscar:	134.315
811	royal:	134.323
812	hates:	134.346
813	aryls:	134.354
814	solde:	134.371
815	ceils:	134.384
816	nails:	134.386
817	telic:	134.387
818	tyers:	134.448
819	euros:	134.464
820	acros:	134.485
821	prose:	134.510
822	stray:	134.523
823	sewar:	134.552
824	celts:	134.564
825	daine:	134.590
826	rodes:	134.610
827	truce:	134.655
828	abers:	134.659
829	vaire:	134.678
830	geats:	134.714
831	cruel:	134.717
832	toled:	134.743
833	meant:	134.752
834	rides:	134.785
835	tames:	134.809
836	toils:	134.813
837	crans:	134.821
838	hared:	134.892
839	trave:	134.897
840	lunar:	134.921
841	spire:	134.929
842	acute:	134.961
843	enarm:	134.968
844	triad:	134.985
845	amole:	135.034
846	hairs:	135.074
847	after:	135.086
848	carns:	135.105
849	roads:	135.114
850	steno:	135.119
851	heast:	135.121
852	cairn:	135.137
853	sable:	135.148
854	satin:	135.157
855	torah:	135.202
856	rohes:	135.204
857	usnea:	135.221
858	older:	135.222
859	riled:	135.239
860	peals:	135.253
861	oaker:	135.277
862	caper:	135.313
863	spore:	135.314
864	cotes:	135.342
865	rhine:	135.375
866	trons:	135.376
867	diane:	135.378
868	drent:	135.383
869	curie:	135.406
870	loper:	135.430
871	lunet:	135.455
872	elsin:	135.529
873	resod:	135.537
874	deros:	135.546
875	wares:	135.562
876	erbia:	135.570
877	pries:	135.587
878	curet:	135.625
879	pieta:	135.661
880	caron:	135.661
881	yenta:	135.673
882	ither:	135.732
883	strad:	135.735
884	touse:	135.740
885	spane:	135.770
886	drail:	135.771
887	piler:	135.898
888	mates:	135.902
889	fears:	135.905
890	amies:	135.926
891	tains:	135.940
892	tapir:	135.948
893	pacer:	135.955
894	paeon:	135.975
895	peats:	135.994
896	soled:	136.054
897	gorse:	136.058
898	baste:	136.124
899	resid:	136.149
900	laker:	136.184
901	daris:	136.189
902	clone:	136.231
903	sehri:	136.235
904	males:	136.235
905	tyran:	136.239
906	conte:	136.278
907	waite:	136.280
908	grise:	136.293
909	tians:	136.410
910	prone:	136.416
911	parol:	136.454
912	anode:	136.454
